qid;query;expanded_queries
PLAIN-112;food dyes and adhd;"['1. ""effects of food dyes on attention deficit hyperactivity disorder""', '2. ""allergy reactions due to artificial food colors in children with ADHD""', '3. ""impact of food coloring additives on cognitive function in adults diagnosed with ADHD""', '4. ""symptoms associated with excessive consumption of artificial colorings in individuals with ADHD""', '5. ""link between common food dyes and behavior problems in children with ADHD""']"
PLAIN-123;how citrus might help keep your hands warm;['1. What are the benefits of eating citrus for hand warmth?', '2. How can consuming citrus improve cold and frost resistance in the extremities?', '3. Can incorporating citrus into a diet increase body temperature naturally?', '4. What is the effect of eating citrus on hand insulation during frigid conditions?', '5. Is there any nutritional value in adding citrus fruits to prevent frostbite?']
PLAIN-133;starving tumors of their blood supply;"['1. ""Starvation therapy for cancer""', '2. ""Cancer treatment targeting blood vessels""', '3. ""Depriving tumor cells of oxygen and nutrients""', '4. ""Blocking tumor angiogenesis with drugs""', '5. ""Tumor hypoxia intervention strategies""']"
PLAIN-143;are dental x-rays safe;['1. Safe exposure of teeth during X-ray examinations?', '2. Security and safety in dental radiography?', '3. Benefits and risks of dental X-ray procedures?', '4. Radiation protection measures for patients receiving X-rays?', '5. Comparative analysis of dental vs non-dental imaging?']
PLAIN-153;how should i take probiotics;['1. What are the correct dosage instructions for taking probiotics?', '2. How can I determine the right amount of probiotic supplements to consume daily?', '3. Can you provide guidelines on how to administer probiotics effectively?', '4. What is the proper method for taking probiotic capsules?', '5. How do I measure and distribute probiotics evenly in my diet?']
PLAIN-165;breast cancer alcohol how much is safe;['1. Safe alcohol consumption for breast cancer patients', '2. Alcohol limits during treatment for breast cancer', '3. Breast cancer recovery and safe drinking levels', '4. How much alcohol is considered safe post-breast cancer diagnosis', '5. Alcoholic beverages and their safety after a breast cancer diagnosis']
PLAIN-175;diet and cellulite;['1. Diet tips for reducing cellulite', '2. Exercise routines for fighting cellulite', '3. Foods to eat for smooth skin & reduced cellulite', '4. How to improve appearance with a diet plan', '5. Cellulite treatment through dietary changes']
PLAIN-186;best treatment for constipation;['1. What are some effective treatments for constipation?', '2. How can I find the best methods for relieving constipation?', '3. What are the top options for treating constipation naturally?', '4. Which remedies are recommended for managing constipation?', '5. What are the most successful approaches to dealing with constipation?']
PLAIN-196;should we avoid titanium dioxide;['1. Can using titanium dioxide be harmful?', '2. Is titanium dioxide safe for consumption?', '3. Should we consider alternatives to titanium dioxide?', '4. Are there any health risks associated with titanium dioxide?', '5. How does titanium dioxide affect human health?']
PLAIN-207;avoiding cooked meat carcinogens;['1. Reducing risk of cancer from unprocessed foods', '2. Lowering your risk for cancer by eating raw fruits and vegetables', '3. Decreasing potential harm from processed meats consumption', '4. Avoiding carcinogenic compounds in food preparation methods', '5. Cutting down on harmful substances found in cooked meats']
PLAIN-217;plant-based diets for psoriasis;"['1. ""Vegetarian and vegan options for treating psoriasis""', '2. ""Dietary changes for managing psoriasis symptoms with plant-based foods""', '3. ""Plant-based diet tips for individuals with psoriasis""', '4. ""Nutritional advice for psoriasis patients following a plant-based lifestyle""', '5. ""Plants and fruits beneficial in reducing psoriasis flare-ups""']"
PLAIN-227;increasing muscle strength with fenugreek;"['1. ""boosting muscle strength through fenugreek""', '2. ""increase muscular strength using fenugreek seeds""', '3. ""enhance leg strength with fenugreek""', '4. ""strengthen muscles with fenugreek powder""', '5. ""improve overall body strength via fenugreek""']"
PLAIN-238;how chemically contaminated are we;['1. What is the extent of chemical contamination in our environment?', '2. How much do chemicals affect human health and safety?', '3. Are there any specific areas where we have higher levels of chemical contamination?', '4. How does industrial pollution contribute to overall chemical contamination?', '5. Can you provide statistics on global chemical contamination levels?']
PLAIN-248;treating an enlarged prostate with diet;['1. Managing symptoms of a larger prostate through dietary changes', '2. Strategies for reducing an enlarged prostate using food choices', '3. Alternative treatments for enlarged prostate via nutritional approaches', '4. Diet tips for dealing with an enlarged prostate condition', '5. Natural methods for managing a larger prostate with food selections']
PLAIN-259;optimal phytosterol dose and source;['1. What is the optimal amount of phytosterols for health benefits?', '2. How does varying phytosterol sources affect absorption rates?', '3. What are the recommended dosages of phytosterols for various dietary needs?', '4. Which food sources contain high amounts of beneficial phytosterols?', '5. How do different phytosterol supplements compare in efficacy?']
PLAIN-270;is caffeinated tea really dehydrating;"['1. ""Does caffeine in tea cause dehydration?""', '2. ""Is drinking caffeinated tea actually hydrating?""', '3. ""How does caffeine affect hydration levels from tea consumption?""', '4. ""Are there any studies proving that caffeine in tea is dehydrating?""', '5. ""What are the effects of consuming caffeinated tea on fluid balance?""']"
PLAIN-280;mercury testing recommended before pregnancy;['1. Should I test for mercury in my body before trying to conceive?', '2. Mercury levels during pregnancy and prenatal care recommendations.', '3. How can mercury exposure impact a fetus during pregnancy?', '4. Mercury testing advice before getting pregnant: What should you know?', '5. Prenatal mercury testing and its importance in preventing birth defects.']
PLAIN-291;stool size and breast cancer risk;['1. Impact of stool size on breast cancer incidence', '2. Breast cancer risk associated with bowel dimensions', '3. Stool volume correlation with breast cancer hazard', '4. Relationship between stool composition and breast cancer susceptibility', '5. Effectiveness of dietary fiber in reducing breast cancer risk via changes in stool characteristics']
PLAIN-307;vitamin d shedding some light on the new recommendations;['1. Vitamin D and its New Recommendations', '2. Exploring Vitamin D with Recent Guidelines', '3. Understanding Vitamin D: Insights into New Recommendations', '4. Vitamin D: Light Shedding on Recent Updates', '5. A Closer Look at Vitamin D: New Recommendations Unveiled']
PLAIN-320;breast cancer and diet;['1. Diet modifications for reducing breast cancer risk', '2. Nutritional strategies in preventing breast cancer', '3. Cancer prevention through dietary choices', '4. Dietary changes affecting breast cancer incidence', '5. Breast cancer reduction with food intake adjustments']
PLAIN-332;can antioxidant-rich spices counteract the effects of a high-fat meal;['2. Can antioxidants in certain spices prevent negative impacts from eating a lot of fats?', '3. How do specific antioxidant spices combat adverse health effects following excessive fat consumption?', '4. Could adding these particular spices improve resistance against harmful outcomes after indulging in fatty foods?', '5. Are there any spices known for their anti-inflammatory properties which can protect against the detrimental effects of consuming large amounts of dietary fats?']
PLAIN-344;dioxins stored in our own fat may increase diabetes risk;"['1. ""Potential link between dioxin accumulation and elevated diabetes incidence""', '2. ""How does storing dioxins in body fat relate to increased diabetes risk?""', '3. ""Association of internal dioxin storage with diabetic condition probability""', '4. ""Dioxins\' role in fat storage linked to higher diabetes vulnerability""', '5. ""Diabetes risk potentially tied to dioxins residing in human adipose tissue""']"
PLAIN-358;didnt another study show carnitine was good for the heart;"['1. ""Did a recent research not demonstrate the benefits of L-carnitine on cardiovascular health?""', '2. ""Have any studies proven that L-carnitine is detrimental to heart health?""', '3. ""What other findings exist regarding the effect of L-carnitine on cardiac function?""', '4. ""Are there instances where a review did not support the use of L-carnitine in treating heart disease?""', '5. ""How might additional investigations refute the notion that L-carnitine aids in maintaining heart health?""']"
PLAIN-371;any update on the scary in vitro avocado data;['1. Recent developments in in-vitro avocado studies', '2. Updates from the field of in-vitro avocado research', '3. Latest findings on in-vitro avocado experiments', '4. In-depth analysis of in-vitro avocado data', '5. Current status of in-vitro avocado research']
PLAIN-383;what do you think of dr jenkins take on paleolithic diets;"['1. How does Dr. Jenkins view Paleolithic diet theories?', ""2. What is Dr. Jenkins' perspective on the Paleo diet?"", ""3. What's Dr. Jenkins' stance on the Paleo eating plan?"", ""4. What are Dr. Jenkins' thoughts on a Paleolithic diet?"", ""5. What is Dr. Jenkins' opinion on the Paleolithic way of eating?""]"
PLAIN-395;what about pepper plus turmeric in v8 juice;"['1. ""Benefits of combining pepper and turmeric with V8 juice""', '2. ""Recipe ideas for adding pepper and turmeric to a V8 juice blend""', '3. ""Side effects of mixing pepper and turmeric with V8 drink""', '4. ""Comparative analysis between pepper, turmeric, and V8 juice""', '5. ""Health benefits of using pepper and turmeric in place of V8 juice""']"
PLAIN-407;is annatto food coloring safe;['1. Are there any health risks associated with consuming annatto as a food color?', '2. What are the potential side effects of using annatto for food coloring?', '3. Is annatto considered harmful when used in food products?', '4. Could annatto be toxic if ingested at high concentrations?', '5. How does annatto compare to other natural food dyes?']
PLAIN-418;fresh fruit versus frozen--which is better;['1. What are the nutritional differences between fresh fruits and frozen fruits?', '2. Which option—fresh fruits or frozen fruits—is healthier for consumption?', '3. How do fresh fruits compare with frozen fruits in terms of taste?', '4. Fresh vs Frozen: Which choice offers a superior flavor profile?', '5. Fresh Fruit Versus Frozen Fruits: A Comparison in Nutritional Value?']
PLAIN-430;are krill oil supplements better than fish oil capsules;['1. What are the advantages of taking Krill Oil over Fish Oil for health benefits?', '2. How do Krill Oil and Fish Oil compare in terms of nutritional value and effectiveness?', '3. Which is more effective? Krill Oil or Fish Oil as a supplement?', '4. Are there any specific studies comparing the efficacy of Krill Oil versus Fish Oil?', '5. Is Krill Oil considered superior to Fish Oil for treating certain conditions?']
PLAIN-441;is apple cider vinegar good for you;['1. Can apple cider vinegar be beneficial for your health?', '2. Is apple cider vinegar effective in improving overall wellness?', '3. What are the potential benefits of using apple cider vinegar for your well-being?', '4. Are there any advantages associated with consuming apple cider vinegar regularly?', '5. Could apple cider vinegar have positive effects on human health?']
PLAIN-457;how can you believe in any scientific study;['1. What are some effective methods for doubting scientific studies?', '2. How do people typically approach questioning the credibility of scientific research findings?', '3. Strategies for evaluating the validity and reliability of scientific claims.', '4. Techniques for critically assessing the accuracy and trustworthiness of scientific investigations.', '5. Approaches to skepticism regarding the conclusions derived from scientific experiments.']
PLAIN-468;is vitamin d3 cholecalciferol preferable to d2 ergocalciferol;"['1. ""Are there any advantages of using D3 over D2?""', '2. ""Which form is better for Vitamin D supplementation: D3 vs. D2?""', '3. ""Is it more effective to take D3 than D2 as a source of Vitamin D?""', '4. ""What are the differences between D3 and D2 in terms of their effectiveness?""', '5. ""How do D3 and D2 differ in their absorption rates?""']"
PLAIN-478;accidents;['1. Car accidents', '2. Road traffic incidents', '3. Vehicle collisions', '4. Motor vehicle crashes', '5. Traffic accidents']
PLAIN-488;adenovirus 36;"['1. ""Identifying adenovirus strain 36""', '2. ""Details about adenovirus type 36""', '3. ""Information on adenovirus variant 36""', '4. ""Study of adenovirus subtype 36""', '5. ""Research into adenovirus series 36""']"
PLAIN-499;african-american;"['1. ""African American people""', '2. ""Black Americans""', '3. ""Colored individuals""', '4. ""Negroes in America""', '5. ""Afro-Americans""']"
PLAIN-510;airport scanners;['1. Airport security screening equipment', '2. Airports X-ray machines', '3. Scan devices at airports', '4. Baggage inspection systems', '5. Security checkpoints technology']
PLAIN-520;alli;"['1. Search for ""allied countries""', '2. Look up ""alliance partners""', '3. Find information about ""allies of a country""', '4. Explore discussions related to ""ally status""', '5. Search for ""associates with power and influence""']"
PLAIN-531;alternative medicine;['1. Natural healing methods', '2. Complementary health practices', '3. Integrative healthcare options', '4. Holistic medical approaches', '5. Alternative therapeutic choices']
PLAIN-541;american dental association;"['1. ""find information about american dental association""', '2. ""access resources from american dental association""', '3. ""learn more about american dental association""', '4. ""explore member benefits of american dental association""', '5. ""discover news and updates from american dental association""']"
PLAIN-551;amnesia;['1. Memory loss', '2. Amnestic disorder', '3. Brain fog', '4. Forgetfulness syndrome', '5. Lost memories condition']
PLAIN-561;aneurysm;['1. Brain artery bulge', '2. Arterial dilation in brain', '3. Blood vessel swelling near brain', '4. Cerebral arterial protrusion', '5. Intracranial vascular distension']
PLAIN-571;anisakis;"['1. ""fermented meat consumption and risk factors""', '2. ""pufferfish toxins and health risks""', '3. ""safe handling practices for raw fish""', '4. ""precautions against anisakiasis""', '5. ""risk assessment of marine wildlife consumption""']"
PLAIN-583;antinutrients;['1. Nutrient inhibitors', '2. Anti-nutritional factors', '3. Phytochemicals inhibiting nutrition', '4. Plant compounds reducing nutrient absorption', '5. Food components impeding nutritional value']
PLAIN-593;apnea;['1. Sleep apnea', '2. Breathing disorder during sleep', '3. Snoring and breathing difficulties', '4. Oxygen deprivation while sleeping', '5. Hypopnea syndrome in sleep']
PLAIN-603;arkansas;"['1. ""looking for information about arizona""', '2. ""searching for details on arkansaw state""', '3. ""information request related to arkansas location""', '4. ""data lookup concerning arkansas territory""', '5. ""query pertaining to arkansas geographical data""']"
PLAIN-613;ascorbic acid;"['1. ""vitamin c""', '2. ""antioxidant source""', '3. ""ascorbic acid compound""', '4. ""citric acid derivative""', '5. ""hydroxy acid structure""']"
PLAIN-623;atkins diet;['1. Atkins meal plan', '2. Atkins weight loss guide', '3. Low-carb Atkins diet options', '4. Atkins diet cheat sheet', '5. Atkins nutrition facts']
PLAIN-634;avocados;['1. How can I prepare avocado toast?', '2. What are some healthy recipes with avocados?', '3. Can you recommend a good avocado smoothie recipe?', '4. Where can I find the best avocado farms in California?', '5. How do I use avocado oil for cooking?']
PLAIN-645;bagels;"['1. ""pizzas and bagels""', '2. ""sugar-free bagel options""', '3. ""bagels for breakfast""', '4. ""local bagel shops near me""', '5. ""egg bagel recipes""']"
PLAIN-660;beans;"['1. ""legumes containing protein""', '2. ""cereals made from legumes""', '3. ""dried beans for cooking""', '4. ""bean recipes for beginners""', '5. ""soybeans in food products""']"
PLAIN-671;benzene;['1. What are the health risks associated with benzene exposure?', '2. How is benzene used in industrial processes?', '3. Which industries commonly use benzene as a chemical?', '4. What compounds can form when benzene reacts with oxygen?', '5. How does benzene contribute to air pollution?']
PLAIN-681;betel nuts;"['1. ""purchase betel nut products""', '2. ""betel nut health benefits""', '3. ""betel nut cultivation guide""', '4. ""store for selling betel nuts""', '5. ""recipes using betel nuts""']"
PLAIN-691;bioavailability;['1. How is bioavailability measured?', '2. What factors affect bioavailability of a drug?', '3. Bioavailability and its importance in pharmaceutical research.', '4. Understanding bioavailability through case studies.', '5. Strategies for improving bioavailability of dietary supplements.']
PLAIN-701;black raspberries;"['1. ""dark red berries""', '2. ""purple raspberry fruits""', '3. ""red blackberry variety""', '4. ""natural dark purple fruit""', '5. ""black colored sweet berry""']"
PLAIN-711;blood clots;"['1. ""venous thrombosis""', '2. ""deep vein thrombosis""', '3. ""platelet aggregation""', '4. ""arterial thrombus formation""', '5. ""coagulation disorders""']"
PLAIN-721;bmaa;['1. BMAA content', '2. BMAA compounds', '3. Brain amino acid analysis', '4. BMAA detection methods', '5. Neurotoxicity of BMAA']
PLAIN-731;bone fractures;['1. Wrist injuries', '2. Leg breaks', '3. Arm fractures', '4. Pelvis damage', '5. Finger sprains']
PLAIN-741;bph;"['1. ""best price for headphones""', '2. ""top rated bluetooth headphones""', '3. ""cheap earphones comparison""', '4. ""premium wireless headphones""', '5. ""cheapest in india earphones""']"
PLAIN-751;brca genes;['1. breast cancer susceptibility genes', '2. BRCA gene mutations', '3. hereditary breast and ovarian cancers genes', '4. breast cancer risk factors genes', '5. genetic markers for breast cancer']
PLAIN-761;breast pain;"['1. ""Pain in breast area""', '2. ""Chest discomfort related to breasts""', '3. ""Symptoms of breast soreness""', '4. ""Mammogram warning signs""', '5. ""Tender breast sensation""']"
PLAIN-771;bronchiolitis obliterans;['bronchiolitis obliterans', '1. Pulmonary fibrosis with interstitial inflammation', '2. Diffuse panbronchiolitis-like condition', '3. Bronchial obstruction due to scarring', '4. Interstitial lung disease with bronchiolar involvement']
PLAIN-782;bush administration;"['1. Historical figures during Bush presidency', '2. Policies implemented by the Bush Administration', ""3. Impact of Bush's policies on society"", ""4. Controversies associated with Bush's leadership"", '5. Successes and failures of the Bush Administration']"
PLAIN-792;cadaverine;"['1. ""body odor compound""', '2. ""mummified human substance""', '3. ""corpse smell chemical""', '4. ""smelly remains substance""', '5. ""dead person\'s essence product""']"
PLAIN-806;caloric restriction;['1. Weight loss through diet and exercise', '2. Nutritional strategies for longevity', '3. Health benefits of calorie reduction diets', '4. Longevity studies with dietary restrictions', '5. Effects of caloric intake control on metabolism']
PLAIN-817;canker sores;['1. Oral ulcers', '2. Fissure mouth disease', '3. Glandular stomatitis', '4. Aphthous ulcers', '5. Herpetiform ulceration']
PLAIN-827;carcinogens;['1. Health risks associated with carcinogens', '2. Identification of carcinogens in everyday products', '3. Cancer causing agents overview', '4. Sources and effects of carcinogens', '5. Carcinogenic substances in food industry']
PLAIN-838;carrageenan;"['1. ""gelatin substitute""', '2. ""alginate alternatives""', '3. ""clarifying agent sources""', '4. ""flavoured carrageenans""', '5. ""seaweed extract substitutes""']"
PLAIN-850;cauliflower;"['1. ""broccoli""', '2. ""vegetable substitute for cauliflower""', '3. ""cauliflower recipe ideas""', '4. ""what is the nutritional value of cauliflower""', '5. ""how to cook cauliflower florets""']"
PLAIN-872;chanterelle mushrooms;"['1. ""wild chanterelles for sale""', '2. ""chanterelle identification guide""', '3. ""how to harvest wild chanterelles""', '4. ""chanterelle recipes online""', '5. ""pesticides used in growing chanterelles""']"
PLAIN-882;chernobyl;"['1. ""reactor disaster in ukraine""', '2. ""safety breach at chornobyl plant""', '3. ""environmental catastrophe near maykop""', '4. ""incident at chernobyl nuclear power station""', '5. ""atomic accident in belarus""']"
PLAIN-892;chickpeas;"['1. ""legumes containing chickpeas""', '2. ""bean substitutes for chickpeas""', '3. ""spices used with chickpeas""', '4. ""recipes using chickpeas as a main ingredient""', '5. ""nutrition facts of chickpea products""']"
PLAIN-902;chlorophyll;['1. What is chlorophyll and its importance in plants?', '2. How does chlorophyll contribute to photosynthesis?', '3. What are the functions of chlorophyll in plant biology?', '4. Chlorophyll - a key component in green leaves.', '5. Understanding chlorophyll: structure, function, and significance.']
PLAIN-913;cinnamon;"['1. ""how to make cinnamon bread""', '2. ""recipes for using cinnamon in baking""', '3. ""health benefits of cinnamon""', '4. ""best cinnamon desserts to try""', '5. ""cinnamon spice blends and their uses""']"
PLAIN-924;cocaine;['1. Amphetamines', '2. Ecstasy', '3. Methamphetamine', '4. Hallucinogens', '5. Stimulants']
PLAIN-934;coffee;"['1. ""hot beverage""', '2. ""caffeinated drink""', '3. ""brewed beverage""', '4. ""coffee and tea""', '5. ""drink with caffeine""']"
PLAIN-946;coma;['1. Brain injury resulting in unconsciousness', '2. Numbness and confusion after a blow to head', '3. Unconscious state following trauma', '4. Loss of consciousness due to brain damage', '5. Tragic condition requiring medical attention']
PLAIN-956;cooking methods;"['1. ""Preparation techniques for cooking""', '2. ""Methods of preparing food during cooking""', '3. ""Culinary approaches to cooking recipes""', '4. ""Cooking processes and procedures""', '5. ""Procedures involved in cooking activities""']"
PLAIN-966;cortisol;['1. What are some methods to lower cortisol levels?', '2. How can I use cortisol in my daily life management routine?', '3. What foods contain high amounts of cortisol and how do they affect me?', '4. Can you explain the role of cortisol in stress response and its effects on health?', '5. How does chronic exposure to cortisol impact overall physical and mental well-being?']
PLAIN-977;crib death;['1. SIDS Death', '2. Infant Mortality Cribbed', '3. Cribbed Death Infants', '4. Sudden Infant Death Syndrome', '5. Sleeping Death Infants']
PLAIN-987;cumin;['1. Spice blend containing cumin seeds', '2. Ground cumin powder for cooking', '3. Cumin seed oil extraction process', '4. Culinary use of cumin in dishes', '5. Health benefits of consuming cumin']
PLAIN-997;czechoslovakia;"['1. ""slovak republic""', '2. ""czecho-slovakia""', '3. ""cska state""', '4. ""ceskoslovenská republika""', '5. ""czechoslovakian states""']"
PLAIN-1008;deafness;['1. Impairment of hearing', '2. Hearing loss condition', '3. Sound perception deficit', '4. Inability to hear clearly', '5. Loss of auditory function']
PLAIN-1018;dha;"['1. ""alpha-linolenic acid""', '2. ""docosahexaenoic acid""', '3. ""omega-3 fatty acids""', '4. ""n-3 polyunsaturated fats""', '5. ""marine-derived omega-3s""']"
PLAIN-1028;dietary scoring;['1. Nutritional assessment score', '2. Caloric evaluation index', '3. Food intake analysis metric', '4. Dietary value rating system', '5. Nutrient composition tally measure']
PLAIN-1039;domoic acid;"['1. ""contaminated seafood and its effects""', '2. ""marine toxin domoic acid""', '3. ""effects of domoic acid exposure""', '4. ""diagnosis of domoic acid poisoning""', '5. ""detection methods for domoic acid""']"
PLAIN-1050;dr dean ornish;"[""1. Dr Dean Ornish's Diet and Lifestyle Guide"", '2. The Complete Guide by Dr Dean Ornish', ""3. Dean Ornish's Heart Health Plan"", '4. Dr. Dean Ornish: A Life-Changing Program for Healthy Aging', ""5. Dean Ornish's Plant-Based Diet and Lifestyle Changes for Better Health""]"
PLAIN-1066;dr walter willett;"[""1. Dr Walter Willett's medical research"", '2. Walter Willett doctor specialties', '3. Walter Willett nutritionist biography', ""4. Walter Willett's health studies overview"", '5. Walter Willett dietitian career path']"
PLAIN-1088;ecmo;['1. Extracorporeal membrane oxygenation', '2. Mechanical lung support system', '3. Advanced life support device', '4. ECMO therapy overview', '5. Pulmonary bypass machine for patients with respiratory failure']
PLAIN-1098;eggnog;['1. What is eggnog and where can I find it?', '2. How do you make eggnog at home?', '3. Eggnog recipes for special occasions.', '4. Eggnog history and traditions around the world.', '5. Benefits of drinking eggnog regularly.']
PLAIN-1109;endocrine disruptors;"['1. ""effects of endocrine disrupting chemicals""', '2. ""impact of endocrine disruptors on health""', '3. ""chemicals affecting hormone balance""', '4. ""endocrine system interference""', '5. ""hormonal disruption by substances""']"
PLAIN-1119;energy drinks;"['1. ""caffeinated beverages""', '2. ""boosting energy products""', '3. ""jolted with power sources""', '4. ""energizing drink options""', '5. ""high caffeine concoctions""']"
PLAIN-1130;ergothioneine;"['1. ""Glycine S-adenosyltransferase inhibitor""', '2. ""S-adenosylmethionine precursor""', '3. ""Glutathione conjugate synthesis""', '4. ""Cysteine derivative in metabolism""', '5. ""Amino acid involved in antioxidant defense""']"
PLAIN-1141;evidence-based medicine;['1. Medical research grounded in empirical data', '2. Scientific validation through clinical trials', '3. Evidence derived from randomized controlled studies', '4. Data-driven medical practices', '5. Therapeutic interventions backed by evidence']
PLAIN-1151;factory farming practices;['1. Agricultural methods used in large-scale livestock production', '2. Industrial farming techniques employed in meat and poultry industries', '3. Commercial animal rearing practices in agriculture', '4. Large-scale food production processes involving animals', '5. Methods of raising farm animals for commercial purposes']
PLAIN-1161;fava beans;"['1. ""legumes containing fava beans""', '2. ""beans with fava bean content""', '3. ""favas and other legumes""', '4. ""bean dishes including fava beans""', '5. ""legume recipes using fava beans""']"
PLAIN-1172;fenugreek;"['1. ""how do I use fenugreek in cooking?""', '2. ""benefits of consuming fenugreek seeds""', '3. ""recipes with fenugreek leaves and roots""', '4. ""health benefits of fenugreek for hair growth""', '5. ""fenugreek extract properties""']"
PLAIN-1183;finland;"['1. ""countries in europe with capital cities starting with f""', '2. ""capital cities of finnish-speaking countries""', '3. ""famous landmarks located in finland""', '4. ""finland-related travel destinations""', '5. ""finnish language education programs abroad""']"
PLAIN-1193;flax oil;['1. Omega-3 Flax Oil Supplement', '2. Ground Flaxseed Oil for Health', '3. Flax Seed Oil Extract', '4. Flax Oil Benefits and Uses', '5. Flax Seeds Oil Comparison']
PLAIN-1203;folic acid;['1. What are sources of folic acid?', '2. How does folic acid affect fetal development?', '3. Folic acid content in various foods.', '4. Benefits and deficiency symptoms of folic acid.', '5. Sources of natural folic acid.']
PLAIN-1214;fosamax;['fosamax', '- calcium and vitamin d treatment', '- bisphosphonate medications', '- osteoporosis prevention drugs', '- oral bone density supplements']
PLAIN-1225;fructose;"['1. ""sugar alternative for diabetics""', '2. ""high fructose corn syrup usage in food industry""', '3. ""health benefits of naturally occurring fructose""', '4. ""how does fructose affect blood sugar levels""', '5. ""conversion rate of glucose to fructose""']"
PLAIN-1236;galactosemia;"['1. ""genetic disorder affecting galactose metabolism""', '2. ""disorder caused by deficiency of galactose-1-phosphate uridylyltransferase enzyme""', '3. ""hereditary condition resulting from inability to metabolize galactose properly""', '4. ""medical condition due to absence of galactose-6-phosphate dehydrogenase enzyme""', '5. ""metabolic disease characterized by accumulation of galactitol and other substances related to galactose metabolism""']"
PLAIN-1249;genetic manipulation;"['1. ""altering genes through scientific methods""', '2. ""engineering organisms using genetic techniques""', '3. ""manipulating DNA for specific purposes""', '4. ""enhancing biological traits with genetic modifications""', '5. ""changing hereditary characteristics through bioengineering""']"
PLAIN-1262;global burden of disease study;"['1. ""impact of global health studies""', '2. ""worldwide effects of disease statistics""', '3. ""disease prevalence worldwide analysis""', '4. ""public health impact evaluation""', '5. ""healthcare cost implications of diseases""']"
PLAIN-1275;goji berries;"['1. ""health benefits of goji berries""', '2. ""how to use goji berries for weight loss""', '3. ""top goji berry supplements for sale online""', '4. ""recipes with goji berries and almonds""', '5. ""best goji berry juice brands""']"
PLAIN-1288;grapes;"['1. ""fruit containing seeds""', '2. ""tropical fruit with edible skin""', '3. ""dry fruits for snacking""', '4. ""sweet red berries""', '5. ""dessert fruits commonly used in recipes""']"
PLAIN-1299;growth promoters;['1. What are growth enhancers?', '2. How do I use feed additives in livestock production?', '3. Which substances boost animal productivity?', '4. Growth stimulants for farm animals explained.', '5. Effective supplements for increasing poultry weight gain?']
PLAIN-1309;halibut;['1. What are some dishes made with halibut?', '2. How can I prepare a halibut fillet?', '3. Where can I find fresh halibut in my area?', '4. What is the best way to cook halibut for beginners?', '5. Are there any recipes involving halibut you would recommend?']
