qid;query;expanded_queries
PLAIN-934;coffee;"['1. ""hot beverage for mornings""', '2. ""caffeinated drink preferred by coffee lovers""', '3. ""liquid energy source sought after in early hours of day""']"
PLAIN-946;coma;['1. Brain injury leading to unconsciousness', '2. Persistent state of unresponsiveness due to brain malfunction', '3. Unconscious condition following a neurological event']
PLAIN-956;cooking methods;['1. Food preparation techniques', '2. Cooking strategies', '3. Culinary approaches']
PLAIN-966;cortisol;"['1. ""stress hormone levels""', '2. ""adrenaline and adrenaline release""', '3. ""hormone cortisol production""']"
PLAIN-977;crib death;['1. Sudden Infant Death Syndrome', '2. Cot Death', '3. Neonatal猝死综合症']
PLAIN-987;cumin;"['1. ""spice blend containing cumin seeds""', '2. ""ground cumin for cooking""', '3. ""culantro and cumin mixture""']"
PLAIN-997;czechoslovakia;"['1. ""slovak republic""', '2. ""czecho-slovakia""', '3. ""cska"" To expand the search for ""Czechoslovakia,"" you can consider these three alternatives:']"
PLAIN-1008;deafness;"['1. ""hearing impairment""', '2. ""speech impediment""', '3. ""auditory deficiency""']"
PLAIN-1018;dha;"['1. ""dihydroxyacetone""', '2. ""aldose-1-phosphate""', '3. ""2-deoxy-D-glucose"" To generate alternative ways to express the search query for ""dha"", I will focus on synonyms and related terms that can provide a broader range of results:']"
PLAIN-1028;dietary scoring;"['1. ""calorie counting""', '2. ""nutritional assessment""', '3. ""food rating system""']"
PLAIN-1039;domoic acid;"['1. ""effects of domoic acid on marine life""', '2. ""detection methods for detecting domoic acid in water samples""', '3. ""health risks associated with consuming contaminated seafood containing domoic acid""']"
PLAIN-1050;dr dean ornish;"['1. ""Dr Dean Ornish diet plan""', '2. ""Dr Dean Ornish lifestyle change""', '3. ""Dr Dean Ornish holistic health guide""']"
PLAIN-1066;dr walter willett;['1. Dr Walter Willett research', '2. Walter Willett doctor profile', '3. Dr Walter Willett medical studies']
PLAIN-1088;ecmo;['1. Extracorporeal membrane oxygenation', '2. Mechanical lung support system', '3. Artificial heart-lung bypass machine The expanded queries are:']
PLAIN-1098;eggnog;"['1. ""cocktail recipe for eggnog""', '2. ""traditional christmas drink called eggnog""', '3. ""alcoholic eggnog recipes""']"
PLAIN-1109;endocrine disruptors;['1. Hormone-mimicking substances', '2. Chemicals affecting hormone function', '3. Endocrine system interference agents']
PLAIN-1119;energy drinks;"['1. ""caffeinated beverages""', '2. ""drink energy boosters""', '3. ""supernatural stimulants""']"
PLAIN-1130;ergothioneine;"['1. ""glutathione precursor""', '2. ""sulfur-containing amino acid""', '3. ""antioxidant cofactor"" Ergothioneine is a sulfur-containing amino acid and an antioxidant cofactor in organisms. It plays a crucial role in protecting cells from oxidative stress. Here are three alternative expressions for the search term:']"
PLAIN-1141;evidence-based medicine;['1. Medical practices based on empirical evidence', '2. Evidence verification in healthcare systems', '3. Proven therapeutic approaches validated by data analysis']
PLAIN-1151;factory farming practices;['1. Sustainable agriculture methods in livestock production', '2. Animal husbandry techniques used in large-scale farming operations', '3. Industrial animal rearing systems around the world']
PLAIN-1161;fava beans;"['1. ""How can I prepare fava beans?""', '2. ""What are some dishes made with fava beans?""', '3. ""Where can I find fresh fava beans?""']"
PLAIN-1172;fenugreek;"['1. ""how to use fenugreek""', '2. ""benefits of consuming fenugreek""', '3. ""fenugreek seeds for cooking""']"
PLAIN-1183;finland;"['1. ""search for Finland""', '2. ""find information about Finland""', '3. ""browse resources related to Finland""']"
PLAIN-1193;flax oil;['1. Omega-3 Flax Oil', '2. Flax Seed Oil Supplement', '3. Ground Flaxseed Oil Extract']
PLAIN-1203;folic acid;"['1. ""vitamin B9 supplementation""', '2. ""folate dietary sources""', '3. ""pregnancy vitamin requirement""']"
PLAIN-1214;fosamax;"['1. ""fosamax prescription""', '2. ""fosamax usage""', '3. ""fosamax alternatives""']"
PLAIN-1225;fructose;['1. High fructose corn syrup', '2. Fruit sugar', '3. Saccharose']
PLAIN-1236;galactosemia;"['1. ""medical condition related to galactose metabolism""', '2. ""genetic disorder affecting galactose breakdown""', '3. ""pathological condition caused by galactose deficiency""']"
PLAIN-1249;genetic manipulation;"['1. ""gene editing techniques""', '2. ""altering dna through biological means""', '3. ""genetic modification methods""']"
PLAIN-1262;global burden of disease study;['1. Health impact assessment using global health data', '2. Disease prevalence worldwide analysis', '3. Global evaluation of health outcomes across nations']
PLAIN-1275;goji berries;"['1. ""health benefits of goji berries""', '2. ""buying guide for goji berries""', '3. ""recipes with goji berries""']"
PLAIN-1288;grapes;"['1. ""strawberries""', '2. ""citrus fruits""', '3. ""raisins""']"
PLAIN-1299;growth promoters;"['1. ""Boosters for animal growth""', '2. ""Feed additives for enhancing livestock production""', '3. ""Nutritional supplements boosting farm productivity""']"
PLAIN-1309;halibut;"['1. ""Best places to find halibut""', '2. ""Cooking with halibut recipes""', '3. ""Health benefits of eating halibut""']"
PLAIN-1320;harvard physicians’ study ii;"['1. ""Harvard Medical School\'s study II""', '2. ""II of Harvard Physicians\' Study""', '3. ""Harvard II in Physician Studies""']"
PLAIN-1331;hearing;['1. Sound perception', '2. Auditory experience', '3. Olfactory input']
PLAIN-1342;heme iron;"['1. ""iron content in hemoglobin""', '2. ""ferrous ions in blood cells""', '3. ""hematin and hemozoin formation with iron""']"
PLAIN-1353;hernia;['1. Abdominal mass requiring medical attention', '2. Intestine bulge needing care', '3. Pelvic organ protrusion seeking treatment']
PLAIN-1363;hiroshima;"['1. ""city devastated by atomic bombing""', '2. ""post-atomic-bombing reconstruction in Hiroshima""', '3. ""impact of nuclear attack on Hiroshima""']"
PLAIN-1374;hormonal dysfunction;['1. Imbalanced Hormones', '2. Endocrine Disorders', '3. Adrenal Issues']
PLAIN-1387;hyperactivity;"['1. ""Overactive behavior in children""', '2. ""Excessive activity levels in adults""', '3. ""Hyperfunction of central nervous system""']"
PLAIN-1398;igf-1;"['1. ""Insulin-like growth factor 1""', '2. ""Igf-1 hormone levels""', '3. ""IGF-1 test and analysis""']"
PLAIN-1409;industrial toxins;['1. Chemicals in industrial environments', '2. Health risks associated with industrial chemicals', '3. Exposure levels of toxic substances in factories Industrial toxins are harmful substances found in industrial settings that can affect human health and the environment. Here are three alternative ways to express this search intent:']
PLAIN-1419;insects;"['1. ""Insect life cycle""', '2. ""Types of insects""', '3. ""Insect classification""']"
PLAIN-1429;iowa women’s health study;"[""1. Iowa Women's Health Study"", ""2. Women's Health Study in Iowa"", ""3. Iowa Women's Health Research Project""]"
PLAIN-1441;japan;"['1. ""find information about japan""', '2. ""explore japanese culture and history""', '3. ""learn more about japan\'s geography and population""']"
PLAIN-1453;junk food;['1. unhealthy snacks', '2. fast food alternatives', '3. sweets and desserts']
PLAIN-1463;kidney beans;"['1. ""garlic and kidney bean soup""', '2. ""kidney beans recipe for tacos""', '3. ""kidney beans vs black beans nutritional comparison""']"
PLAIN-1473;kohlrabi;"['1. ""baby kohlrabi""', '2. ""culinary uses of kohlrabi""', '3. ""kohlrabi sprouts and roots""']"
PLAIN-1485;lard;"['1. ""gravy substitute for pork""', '2. ""cooking ingredient used in meat dishes""', '3. ""sauce made from rendered pork fat""']"
PLAIN-1496;leeks;"['1. ""onion greens""', '2. ""green onions""', '3. ""scallions""']"
PLAIN-1506;leucine;"['1. ""amino acid leucine""', '2. ""isoleucine and valine together""', '3. ""protein building block leucine""']"
PLAIN-1516;lindane;"['1. ""organic treatment for lice""', '2. ""alternative medicine for headlice""', '3. ""pesticide-free solution for head infestation""']"
PLAIN-1527;liver disease;"['1. ""causes of liver damage""', '2. ""hepatitis and cirrhosis""', '3. ""diseases affecting liver function""']"
PLAIN-1537;low-carb diets;"['1. ""Diet plans with minimal carbs""', '2. ""Calorie-restricted eating habits""', '3. ""Low carbohydrate meal options""']"
PLAIN-1547;lyme disease;"['1. ""syphilis and tick-borne illness""', '2. ""tick-borne encephalitis and symptoms""', '3. ""bacterial infection associated with ticks""']"
PLAIN-1557;magnesium;"['1. ""calcium supplementation""', '2. ""aluminum toxicity treatment""', '3. ""sodium chloride usage"" Magnesium supplements']"
PLAIN-1568;maple syrup;"['1. ""how do i make maple syrup at home""', '2. ""where can i buy organic maple syrup online""', '3. ""what are the nutritional benefits of consuming maple syrup regularly""']"
PLAIN-1579;mastitis;"['1. ""Inflammation of breast tissue""', '2. ""Infected milk-producing gland""', '3. ""Breast infection condition""']"
PLAIN-1590;medical ethics;"['1. ""ethical considerations in healthcare""', '2. ""moral principles of medicine""', '3. ""professional conduct in medical practice""']"
PLAIN-1601;memory;"['1. What are some techniques for improving computer memory efficiency?', ""2. How can I enhance my brain's capacity for memorizing information?"", '3. What are strategies to boost short-term and long-term memory retention?']"
PLAIN-1611;mesquite;"['1. ""search for mesquite tree""', '2. ""look up mesquite plant information""', '3. ""find details about mesquite beans""']"
PLAIN-1621;mevacor;"['1. ""mecobalamin""', '2. ""metoclopramide hydrochloride""', '3. ""oral mevacor"" The search term you provided is ""mevacor"". Here are three alternative ways to express the same search intent:']"
PLAIN-1635;milk;"['1. dairy product', '2. liquid food', ""3. cow's milk""]"
PLAIN-1645;molasses;['1. Sweetener made from sugarcane', '2. Thickening agent for sauces and desserts', '3. Liquid sugar substitute used in cooking Molasses is a sweetener made from the sap of the sugarcane plant, commonly used as a thickening agent in sauces and desserts due to its unique properties such as viscosity and flavor. It can also be considered as a liquid sugar substitute in certain culinary applications where it provides sweetness with less water content compared to traditional sugars like table sugar (sucrose). However, molasses should not be confused with other forms of sweeteners derived from different sources like honey or agave nectar, which have distinct characteristics and uses. When searching for information related to molasses, consider exploring recipes, nutritional facts']
PLAIN-1656;mouth cancer;['1. oral cavity malignancy', '2. tongue and throat cancer', '3. oropharyngeal carcinoma']
PLAIN-1667;muscle health;['1. Enhancing physical performance with muscle strength', '2. Strategies for maintaining healthy muscles', '3. Nutritional guidelines for building and preserving muscle mass']
PLAIN-1679;myelopathy;['1. spinal cord disorder', '2. nerve root compression', '3. peripheral nervous system dysfunction']
PLAIN-1690;national academy of sciences;['1. Academic community focusing on science and technology', '2. Institution for advanced research in natural sciences', '3. Organization dedicated to scientific knowledge dissemination']
PLAIN-1700;native americans;['1. American Indians', '2. Indigenous Peoples of North America', '3. Native Americans and Their Cultures']
PLAIN-1710;neurocysticercosis;"['1. ""Cysticercosis affecting the nervous system""', '2. ""Neuroinvasion by Taenia solium cysts""', '3. ""Nervous tissue infection caused by pork tapeworm larvae""']"
PLAIN-1721;nih-aarp study;"['1. ""Nih-aarp research project""', '2. ""Nih-aarp health study""', '3. ""Nih-aarp survey analysis""']"
PLAIN-1731;norovirus;"['1. ""viral gastroenteritis""', '2. ""food poisoning virus""', '3. ""rotavirus outbreak""']"
PLAIN-1741;nuts;"['1. ""nut products""', '2. ""almonds and cashews""', '3. ""seedless nuts""']"
PLAIN-1752;okra;"['1. ""Green bean substitute""', '2. ""Okra recipe ideas""', '3. ""Crisp green vegetable""']"
PLAIN-1762;oral intraepithelial neoplasia;"['1. ""precancerous oral lesions""', '2. ""in situ oral epithelial dysplasia""', '3. ""oral squamous cell carcinoma precursor""']"
PLAIN-1772;organotins;"['1. ""Organometallic compounds containing tin""', '2. ""Tin-based chemical substances""', '3. ""Inorganic tin compounds and complexes""']"
PLAIN-1784;oxen meat;['1. Beef from ox', '2. Cattle muscle meat', '3. Veal from adult cattle']
PLAIN-1794;panama;"['1. ""Find information about Panama""', '2. ""Explore destinations in Panama""', '3. ""Discover facts about Panama""']"
PLAIN-1805;parkinsons disease;"[""1. Symptoms of Parkinson's Disease"", ""2. Causes and Risk Factors for Parkinson's"", ""3. Treatment Options for Parkinson's Patients""]"
PLAIN-1817;peanut butter;['1. almond butter', '2. cashew butter', '3. peanut oil spread']
PLAIN-1827;peoria;"['1. ""locations near Peoria""', '2. ""places in Peoria area""', '3. ""find hotels in Peoria""']"
PLAIN-1837;pesticides;"['1. ""herbicides and fungicides""', '2. ""agricultural chemicals used for pest control""', '3. ""weed killers and insect repellents""']"
PLAIN-1847;philippines;"['1. ""countries in southeast asia""', '2. ""indonesia and malaysia""', '3. ""asia\'s smallest country""']"
PLAIN-1857;phytic acid;"['1. ""plant-based fats""', '2. ""food fat sources""', '3. ""dietary fatty acids""']"
PLAIN-1867;pineapples;"['1. ""find pineapple products online""', '2. ""papaya alternatives for cooking""', '3. ""pineapple substitutes in baking recipes""']"
PLAIN-1877;plant-based diet;"['1. ""vegan meal plan""', '2. ""diet with plant proteins""', '3. ""nutrition for a vegetarian lifestyle""']"
PLAIN-1887;poisonous plants;"['1. ""List of poisonous plants""', '2. ""Identification guide for poisonous plants""', '3. ""Information about harmful plants""']"
PLAIN-1897;polypropylene plastic;"['1. ""Synthetic material for industrial use""', '2. ""Polymer used in manufacturing""', '3. ""Plastic substitute with high strength""']"
PLAIN-1909;pork;"['1. ""roast pork""', '2. ""beef and pork ribs""', '3. ""pork chops with vegetables""']"
PLAIN-1919;poultry workers;['1. Farm laborers', '2. Egg handlers', '3. Meat packers']
PLAIN-1929;prenatal vitamins;['1. Pre-natal supplements', '2. Pregnancy vitamin needs', '3. Folic acid and prenatal care']
PLAIN-1940;prolactin;"['1. ""levels of prolactin in breast milk""', '2. ""effects of high prolactin levels""', '3. ""measuring prolactin concentration in blood""']"
PLAIN-1950;prunes;['1. Fruits containing high levels of dietary fiber', '2. Juicy dried fruits for health benefits', '3. Prune-based recipes and dishes for culinary exploration']
PLAIN-1962;pumpkin;"['1. ""carved pumpkin""', '2. ""halloween jack-o\'-lanterns""', '3. ""spicy pumpkin spice"" To generate alternative ways of expressing the same search intent for ""pumpkin,"" I considered various synonyms and related terms that might lead to broader or more specific searches. Here are three such alternatives:']"
PLAIN-1972;quinine;"['1. ""medicinal properties of quinine""', '2. ""quinine in traditional medicine""', '3. ""quinine and its uses""']"
